sanhî,"1. причина, основание, повод2. опора, оплот II. из-за, по при-"
siphayò,"притеснение, угнетение;(из-за чего)"
siwalat,1. откровение 2. раскрытиерет (из-за чего)
supil,"1. подавление, покорение(из-за чего)"
suyà,"1. излишество, неумеренностьращение (из-за чего)"
talo,"1. спор, ссора 2. поражение;игрывать (из-за чего)"
tangkâ,"1. замысел, умысел; цель(из-за чего)"
tirik,"1. установка стоймя 2. строспорта (из-за бездорожья, поло-"
tunggalî,"1. конфликт, спор; борьба,ничать (за что, из-за чего)"
tupád,"исполненный, выполненный(из-за чего)"
lágutin,"легко, быстро рвущийсяотключать от чего-л. (кого)"
min,"(ko) (sa kanyá) испытывать(от кого, от чего)"
lapnitán,отдирать (от чего)
lawagin,расчищать (от чего)
láyuan,"1. соц. удаление, отдале(от кого, от чего); уходить, уез-"
layuán,"1. удаляться, отдалятьсяустраняться (от кого, от чего)"
layuán,"1. удаляться, отдалятьсякого, от чего)"
libanan,"пропускать (что), уклоняться (от чего)"
ligiran,"1. ходить, ездить вокруг3. уклоняться, отходить (от чего)"
lumigpít,1. устраняться от чего-л.
ligtasán,"спасаться, избавляться(от кого, от чего)"
lihisán,"1. отклоняться, уклоняться(от чего); избегать (чего)"
liwasán,"отклоняться, уходитьв сторону (от чего)"
lubayán,1. прекращать что-л.вать отдых от чего-л. (кому)
lunas,(1) средство (в т.ч. лечебное)для избавления от чего-л.; целеб-
lumunas,"исцелять, избавлять отный; избавляющий от чего-л."
malát,"хриплый, охрипший (о голосе)malatín охрипнуть от чего-л."
pigil,"удерживание, сдерживаниедерживаться от чего-л."
pigtás,"связ. к.pigtasán отрывать (от чего), вы-"
pilas,1. отрывание от чего-л. 2. вы-
las,ng pusò супруг(а); kapilas ngpagpilasan 1. отрывать (от чего);
las,ng pusò супруг(а); kapilas ngpilasan отрывать (от чего); вы-
pilíng,"1. кисть, гроздь 2. срываниевать (от чего)"
pingas,1. зазубрина; царапина;кусочки (от чего); портить (что)
protektado,защищенный от чего-л.
puknát,"I. отдирание, отрывание(от чего)"
puwíng,"1. инородное тело, соринкаство, дискомфорт (от чего, из-за"
sakláp,"прям., перен. горечьот чего)"
sangá,"1. ветвь, ветка; сук; прутмывать (от чего)"
sasà,"1. изобилие; избыток 2. чувстние (от кого, от чего), наслаж-"
talikód,"1. поворачивание спиной к коворачиваться (от кого, от чего)"
talikód,"1. поворачивание спиной к кокого, от чего)"
talimuáng,"1. отрицание, непризнаказываться, отрекаться (от чего)"
tamasa,"удовольствие, наслаждениествие (от чего)"
tamasa,"удовольствие, наслаждениевие (от чего)"
tanggál,"1. отрывание, отделениеtanggalán 1. отрывать (от чего);"
tapas,1. подрезание верхушки дебать (от чего)
tapyás,"I. 1. отколотый, срезанный(от чего) 2. гранить, полировать"
tarantá,"ошеломленный, растерянпридти в замешательство (от чего)"
tipák,"(1) I. 1. обломок, обрубок;tipakán 1. откалывать (от чего)"
tukláp,"I. сдирание, отдирание, отрать (от чего)"
tungkáb,"смещение, сдвиг(от чего)"
ubayà,связ. к.paubayà отказ от чего-л. в пользу
ukab,откусанный большой кусокukaban откусывать (от чего)
ungab,1. большая выемка 2. большой(от чего)
waag,чистая поверхность; открытоеwaagan очищать от чего-л. (что)
waag,чистая поверхность; открытоестранство (от чего)
waksí,"(1)1. отряхивание, стрядение от чего-л. 3. отказ, отре-"
